date,shootings,killed
1/1/15,1,0
1/2/15,1,1
1/4/15,2,5
1/6/15,1,1
1/7/15,1,1
1/8/15,1,1
1/9/15,1,4
1/10/15,1,3
1/11/15,4,3
1/12/15,1,2
1/13/15,1,0
1/14/15,1,2
1/19/15,1,2
1/20/15,1,1
1/23/15,1,0
1/24/15,2,7
1/26/15,1,1
1/28/15,1,1
1/29/15,1,5
2/1/15,2,1
2/4/15,1,4
2/5/15,1,3
2/6/15,1,1
2/7/15,1,5
2/8/15,1,0
2/9/15,1,3
2/15/15,1,0
2/17/15,1,1
2/22/15,3,7
2/25/15,1,3
2/27/15,1,8
2/28/15,3,8
3/1/15,2,1
3/2/15,1,1
3/3/15,1,3
3/4/15,1,2
3/9/15,1,1
3/10/15,1,0
3/11/15,1,0
3/13/15,1,2
3/14/15,1,0
3/15/15,2,3
3/16/15,1,0
3/17/15,1,3
3/18/15,2,2
3/19/15,1,2
3/20/15,4,1
3/21/15,2,0
3/22/15,1,1
3/23/15,1,1
3/24/15,1,4
3/26/15,1,0
3/28/15,1,0
3/29/15,1,0
3/30/15,1,4
4/2/15,1,0
4/3/15,1,0
4/5/15,2,1
4/7/15,1,1
4/16/15,2,6
4/18/15,5,2
4/19/15,1,0
4/21/15,1,2
4/25/15,2,1
4/27/15,2,4
5/1/15,1,2
5/3/15,4,5
5/4/15,2,1
5/7/15,1,0
5/10/15,3,2
5/12/15,2,6
5/13/15,1,4
5/16/15,3,0
5/17/15,1,9
5/18/15,2,1
5/19/15,1,1
5/20/15,1,1
5/23/15,1,2
5/24/15,4,1
5/25/15,1,1
5/26/15,1,2
5/28/15,3,1
5/29/15,1,1
5/30/15,2,1
5/31/15,4,5
6/3/15,1,3
6/5/15,2,1
6/6/15,2,1
6/7/15,1,5
6/9/15,1,1
6/10/15,2,2
6/11/15,2,2
6/12/15,1,0
6/13/15,6,5
6/14/15,2,2
6/15/15,1,0
6/16/15,1,0
6/17/15,1,9
6/19/15,1,0
6/20/15,2,1
6/21/15,2,4
6/22/15,1,0
6/23/15,2,4
6/24/15,1,0
6/25/15,1,0
6/26/15,1,0
6/27/15,3,6
6/28/15,3,0
6/29/15,1,0
7/1/15,2,2
7/3/15,1,2
7/4/15,4,2
7/5/15,4,5
7/7/15,1,3
7/12/15,3,5
7/13/15,1,1
7/14/15,1,0
7/15/15,5,5
7/16/15,2,5
7/17/15,4,2
7/18/15,2,3
7/19/15,2,0
7/20/15,1,0
7/21/15,1,1
7/22/15,1,4
7/23/15,1,3
7/25/15,2,2
7/26/15,3,2
7/27/15,1,0
7/28/15,1,2
7/30/15,1,0
8/1/15,1,0
8/2/15,4,1
8/3/15,1,0
8/4/15,1,1
8/6/15,1,0
8/7/15,1,4
8/8/15,3,11
8/9/15,2,2
8/10/15,1,0
8/15/15,3,2
8/16/15,4,1
8/19/15,1,3
8/20/15,1,2
8/21/15,4,5
8/22/15,1,1
8/25/15,1,1
8/26/15,4,6
8/27/15,1,2
